year,twitterHandle,canBeTaggedInPhotos
2017,@mbostock,yes
2017,@sxywu,yes
2017,@NadiehBremer,yes
2017,@philogb,yes
2017,@mattbrehmer,yes
2017,@rsimmon,yes
2017,@AmeliaMN,yes
2017,@MikolaLysenko,yes
2017,@duto_guerra,yes
2017,@kanarinka,yes
2017,@rahulbot,yes
2017,@matthew_daniels,yes
2017,@amandacox,yes
2017,@lisacrost,yes
2017,@syntagmatic,yes
2017,@veltman,yes
2017,@juliasilge,yes
2017,@AmyCesal,yes
2017,@kanitw,yes
2017,@domoritz,yes
2017,@arvindsatya1,yes
2017,@ericsoco,yes
2017,@ccgramazio,yes
2017,@alanmclean,yes
2017,@hadleywickham,yes